Country,City,University,Master,Language,Semesters,Fee per semester(EU),Language certificate,Temporada de inicio,Time,Application fee,GRE,GMAT,IELTS,TOEFL,Pasantias?,%Estudiantes extranjeros,Becas,Link,Comentarios
Finland,Helsinki,University of Helsinki,Data Science,Bilingual,4,7500,,Autumn,Full time,,,,,,,,,,
Finland,Helsinki,University of Helsinki,Computer Science,Bilingual,4,7500,,Autumn,Full time,,,,,,,,,,
France,Paris,Ecole Polytechnique,Data Science,English,4,9925,B2,Winter Semester only,Full time,110,Yes,Yes,,,,,,https://programmes.polytechnique.edu/en/master/programs/data-science-for-business-joint-degree-with-hec,
Germany,Chemnitz,Chemnitz University of Technology,Business Intelligence & Analytics,German,4,5405,,,Full time,,,,,,,,,,
Germany,Lunenburg,Leuphana University of Lüneburg,Management & Data Science,English,4,353,,Winter Semester only,Full time,,,,,,,,,https://www.leuphana.de/en/graduate-school/master/course-offerings/management-data-science.html,
Germany,Munich,Ludwig-Maximilians-Universität München,Data Science,English,4,128,B2,Winter Semester only,Full time,,,,,,,,,http://www.en.uni-muenchen.de/students/degree/master_programs/data_science/index.html,
Germany,Heidelberg,SRH University of Applied Sciences Heidelberg,Big Data and Business Analytics,English,4,3800,B2,Summer and Winter Semester,Full time,,,,,,,,,daad.de/go/en/stusuw59419,
"Germany,Munich,Technical University of Munich,Data Science,English,4,129,B2,Summer and Winter Semester,Full time,75,,,""6,5"",88,,,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/,https://www.tum.de/en/studies/degree-programs/detail/mathematics-in-data-science-master-of-science-msc/,"
"Germany,Munich,Technical University of Munich,Data Engineering and Analytics,Bilingual,4,129,B2,Summer and Winter Semester,Full time,75,,,""6,5"",88,,,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/,https://www.tum.de/en/studies/degree-programs/detail/data-engineering-and-analytics-master-of-science-msc/,"
Germany,Dortmund,TU Dortmund University,Data Science,English,4,312,B2,Summer and Winter Semester,Full time,,,,,,,,,http://www.statistik.tu-dortmund.de/master_data_science_en.html,
Germany,Hilesheim,University of Hildesheim,Data Analytics,English,4,400,B2,Summer and Winter Semester,Full time,,,,,,,,,https://www.ismll.uni-hildesheim.de/da/index_en.html,
Germany,Potsdam,University of Potsdam,Data Science,English,4,300,B2,Winter Semester only,Full time,,,,,,,,,https://www.uni-potsdam.de/en/cs/education/for-students/master-program-data-science.html,
Germany,Frankfurt,Frankfurt School of Finance & Management,Applied Data science,English,4,8125,C1,Winter Semester only,Full time,0,Yes,Yes,7,90,,,,https://www.frankfurt-school.de/en/home/programmes/master/data-science,
"Ireland,Dublin,""Trinity College Dublin, The University of Dublin"",Computer science,English,2,11626,B2,Winter Semester only,Full time,55,,,6.5,90,,,,https://www.tcd.ie/courses/postgraduate/az/course.php?id=DPTCS-DASC-1F09,"
Italy,Milan,Bocconi University,Data Science and Business Analytics,English,4,7400,,,Full time,,,,,,Yes,,,https://www.unibocconi.eu/wps/wcm/connect/Bocconi/SitoPubblico_EN/Navigation+Tree/Home/Programs/Master+of+Science/Data+Science+and+Business+Analytics/,
Italy,Bolzano,Free University of Bozen-Bolzano,Computational Data Science,English,4,673,,,Full time,,,,,,,,,https://www.masterstudies.com/Master-in-Computational-Data-Science-(MSc)/Italy/Free-University-of-Bozen-Bolzano/#description,
Italy,Milan,Politecnico di Milano,Business Analytics and Big Data,English,2,8500,,Winter Semester only,Full time,,,,,,,,,https://www.som.polimi.it/en/course/master/babd-master-in-business-analytics-and-big-data/,
Italy,Genova,University of Genova,Data Science and Engineering,English,4,1500,,,Full time,,,,,,,,,https://courses.unige.it/10852,
Italy,Genova,University of Genova,Computer Science,English,4,1500,,,Full time,,,,,,,,,,https://www.derby.ac.uk/postgraduate/computing-courses/big-data-analytics-msc/
Netherlands,Eindhoven,Eindhoven University of Technology,Computer science and engineering,English,4,8500,B2,Summer and Winter Semester,Full time,100,,,6.5,90,No,,https://www.tue.nl/en/education/become-a-tue-student/scholarships-and-grants/amandus-h-lundqvist-scholarship-program/ y https://www.tue.nl/en/education/become-a-tue-student/scholarships-and-grants/holland-scholarship/,https://www.tue.nl/en/education/graduate-school/mastertrack-data-science-in-engineering/,
Netherlands,Eindhoven,Eindhoven University of Technology,Computer science and entrepreneurship,English,4,8500,B2,Summer and Winter Semester,Full time,100,,,6.5,90,No,,https://www.tue.nl/en/education/become-a-tue-student/scholarships-and-grants/amandus-h-lundqvist-scholarship-program/ y https://www.tue.nl/en/education/become-a-tue-student/scholarships-and-grants/holland-scholarship/,https://www.tue.nl/en/education/graduate-school/master-data-science-and-entrepreneurship/,
Netherlands,Leiden,Leiden University,Statistical Science for the Life and Behavioural Sciences,English,4,9150,B2,Summer and Winter Semester,Full time,100,,,6.5,90,Yes,,,https://www.universiteitleiden.nl/en/education/study-programmes/master/statistical-science-for-the-life-and-behavioural-sciences/data-science-statistical-science,
Netherlands,Leiden,Leiden University,Computer science,English,4,9150,B2,Summer and Winter Semester,Full time,100,,,6.5,90,Yes,,,https://www.universiteitleiden.nl/en/education/study-programmes/master/computer-science,
Netherlands,Eindhoven,Eindhoven University of Technology,Data Science in Engineering,English,4,4000,,,Full time,100,,,,,,,,,
Norway,Oslo,BI Norwegian Business School,Business Analytics,English,4,4830,,,Full time,,,,,,,,,https://www.bi.edu/programmes-and-individual-courses/master-programmes/business-analytics/,
